name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
Alberum AB,https://www.allabolag.se/foretag/alberum-ab/%C3%B6rebro/-/5592241821,[],559224-1821,10915,Alberum AB,2019-10-28,Aktiebolag,5,,"Forskarvägen 1, 702 54 Örebro","Forskarvägen 1, 702 54 Örebro",Örebro,50,['82110 Kombinerade kontorstjänster'],"Bolaget skall bedriva konsultverksamhet för privatpersoner, företag och organisationer. Konsultationen inriktar sig främst mot branschen vård och omsorg och närliggande branscher och innefattar administration, juridik, personal- frågor, arbetsledning, lönehantering, ekonomi och rapportering.",,
LPM FORDONSTEKNIK AB,https://www.allabolag.se/foretag/lpm-fordonsteknik-ab/kumla/-/5594349580,[],559434-9580,10910,LPM FORDONSTEKNIK AB,2023-05-22,Aktiebolag,3,Martina Lisa-Maria Kaliff,"Hällabrottet 1 Rv 51 Verkstaden, 692 92 Kumla","Örsta 422, 692 92 Kumla",Kumla,50,['45201 Allmän service och reparation av motorfordon utom motorcyklar'],"Verkstad som reparerar och servar alla fordon. allt från marint, personbilar till lastbilar. en verkstad som täcker kundens alla behov samtliga fordon. Samt därmed förenlig verksamhet.",019-57 21 95,
GL:s Billack AB,https://www.allabolag.se/foretag/gl%3As-billack-ab/karlskoga/-/5567858310,[],556785-8310,10888,GL:s Billack AB,2009-07-13,Aktiebolag,9,,"Botorpsvägen 16, 691 42 Karlskoga","Botorpsvägen 16, 691 42 Karlskoga",Karlskoga,100,"['45202 Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar']",Bolaget skall utföra billackering och därmed förenlig verksamhet.,0586-333 10,
Dentinia AB,https://www.allabolag.se/foretag/dentinia-ab/%C3%B6rebro/-/5591764179,[],559176-4179,10887,Dentinia AB,2018-10-23,Aktiebolag,6,,"Drottninggatan 17, 702 10 Örebro","Dentinia AB Drottninggatan 17, 702 10 Örebro",Örebro,50,['86230 Tandläkarverksamhet'],Bolaget ska bedriva tandvård och idka därmed förenlig verksamhet.,,
Castellum Hissmontören 4 AB,https://www.allabolag.se/foretag/castellum-hissmont%C3%B6ren-4-ab/%C3%B6rebro/-/5591643068,[],559164-3068,10882,Castellum Hissmontören 4 AB,2018-07-02,Aktiebolag,0,,Örebro,"c/o Castellum Mitt AB Box 1824, 701 18 Örebro",Örebro,50,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']","Bolaget skall ha till föremål för sin verksamhet att - direkt eller indirekt genom hel- eller delägda bolag - förvärva, förvalta, utveckla och försälja fast egendom samt att bedriva annan därmed förenlig verksamhet.",,
Örebro Golvtjänst AB,https://www.allabolag.se/foretag/%C3%B6rebro-golvtj%C3%A4nst-ab/%C3%B6rebro/-/5566525258,[],556652-5258,10874,Örebro Golvtjänst AB,2003-12-09,Aktiebolag,7,,"Signalgatan 9, 702 44 Örebro","Peter Holm Latorp 356, 719 95 Vintrosa",Vintrosa,100,"['43320 Byggnadssnickeriarbeten', '43330 Golv- och väggbeläggningsarbeten']","Bolaget ska bedriva snickeri, golvläggning och därmed förenlig verksamhet. Dessutom handel och förvaltning av värdepapper.",,
J.T Nilssons Entreprenad & Lantbruk AB,https://www.allabolag.se/foretag/j.t-nilssons-entreprenad-lantbruk-ab/vretstorp/-/5567536478,[],556753-6478,10869,J.T Nilssons Entreprenad & Lantbruk AB,2008-03-10,Aktiebolag,4,,"Lundby 180, 694 95 Vretstorp","Lundby 180, 694 95 Vretstorp",Vretstorp,110,"['43120 Mark- och grundarbeten', '01500 Blandat jordbruk']",Bolaget ska bedriva markentreprenad och lantbruk samt därmed förenlig verksamhet.,070-356 06 79,
Storemore AB,https://www.allabolag.se/foretag/storemore-ab/karlskoga/-/5569312076,[],556931-2076,10865,Storemore AB,2013-05-07,Aktiebolag,0,,"Noravägen 1, 691 53 Karlskoga","Noravägen 1, 691 53 Karlskoga",Karlskoga,50,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']","Bolaget har till föremål för sin verksamhet att bedriva uthyrning av lokaler, förvaringsutrymmen och uppställningsplatser samt därmed förenlig verksamhet.",070-066 26 69,
Fam. Emilssons plåt & bygg AB,https://www.allabolag.se/foretag/fam.-emilssons-pl%C3%A5t-bygg-ab/stora-mell%C3%B6sa/-/5567010052,"['jonatanemilsson@hotmail.com', 'jonatanemilsson@hotmail.com']",556701-0052,10846,Fam. Emilssons plåt & bygg AB,2006-03-30,Aktiebolag,7,,"Ekeby 325, 715 92 Stora Mellösa","Ekeby 325, 715 92 Stora Mellösa",Stora Mellösa,100,['43911 Takarbeten av plåt'],Föremålet för bolagets verksamhet är bygg'/snickeriarbeten och plåt'/smidesarbeten samt handel med värdepapper och därmed förenlig verksamhet.,070-587 85 62,http://www.emilssons.com
Liljendal Äventyrshotell AB,https://www.allabolag.se/foretag/liljendal-%C3%A4ventyrshotell-ab/kumla/-/5565410171,[],556541-0171,10839,Liljendal Äventyrshotell AB,1997-04-15,Aktiebolag,2,,"Stene Brunn 101, 692 93 Kumla","Stene Brunn 101, 692 93 Kumla",Kumla,200,"['45110 Handel med personbilar och lätta motorfordon', '68201 Uthyrning och förvaltning av egna eller arrenderade bostäder']","Bolagets verksamhet är handel med motorfordon, uthyrning av lokaler inom turism och förvaltning av fast egendom och därmed förenlig verksamhet.",,
Macken Kumla AB,https://www.allabolag.se/foretag/macken-kumla-ab/kumla/-/5591840995,[],559184-0995,10833,Macken Kumla AB,2018-12-06,Aktiebolag,4,Camilla Maria Kärf,"Västra Drottninggatan 62, 692 33 Kumla","Västra Drottninggatan 62, 692 33 Kumla",Kumla,50,"['45320 Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar', '47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad', '77390 Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar']",Bolaget ska bedriva detaljhandel främst i form av kiosk och servicebutik samt idka därmed förenlig verksamhet.,,
Lill-Annas Leverans Bageri Aktiebolag,https://www.allabolag.se/foretag/lill-annas-leverans-bageri-aktiebolag/kumla/-/5564569969,[],556456-9969,10833,Lill-Annas Leverans Bageri Aktiebolag,1992-11-27,Aktiebolag,10,,"Marsvägen 7, 692 34 Kumla","Marsvägen 7, 692 34 Kumla",Kumla,100,"['10710 Tillverkning av mjukt matbröd och färska bakverk', '47241 Specialiserad butikshandel med bröd och konditorivaror']",Bolaget skall bedriva bageriverksamhet och handel med aktier och andra värdepapper samt därmed förenlig verksamhet.,,
Mosjö mark och anläggning AB,https://www.allabolag.se/foretag/mosj%C3%B6-mark-och-anl%C3%A4ggning-ab/%C3%B6rebro/-/5591223853,[],559122-3853,10824,Mosjö mark och anläggning AB,2017-08-22,Aktiebolag,7,,"Hammarvägen 2, 702 33 Örebro","Hammarvägen 2, 702 33 Örebro",Örebro,50,['43120 Mark- och grundarbeten'],Mark och anläggning. Snickerier och trädgårds vård. Maskinkörning.,,
MKM Trading AB,https://www.allabolag.se/foretag/mkm-trading-ab/%C3%B6rebro/-/5567722441,[],556772-2441,10824,MKM Trading AB,2008-12-10,Aktiebolag,4,,"Sidvallsgatan 3 Bv, 702 16 Örebro","Sidvallsgatan 3 Bv, 702 16 Örebro",Örebro,100,['46420 Partihandel med kläder och skodon'],Bolaget skall bedriva handel med skor och kläder samt därmed förenlig verksamhet.,,
Sandbergs i Ervalla Aktiebolag,https://www.allabolag.se/foretag/sandbergs-i-ervalla-aktiebolag/ervalla/-/5561757625,[],556175-7625,10810,Sandbergs i Ervalla Aktiebolag,1973-01-01,Aktiebolag,8,,"Tingstorp 418, 718 94 Ervalla","Tingstorp 418, 718 94 Ervalla",Ervalla,600,"['49410 Vägtransport, godstrafik', '43120 Mark- och grundarbeten']","Föremålet för bolagets verksamhet ska vara att utföra grävning, schaktning, planering, lastning, transport, uthyrning, byggnadsverksamhet för bostad och lokaler, försäljning av grus, jord och övriga byggvaror ävensom idka därmed förenlig verksamhet.",019-28 14 12,
Preventica AB,https://www.allabolag.se/foretag/preventica-ab/%C3%B6rebro/-/5568638893,[],556863-8893,10808,Preventica AB,2011-09-08,Aktiebolag,0,,"Radiatorvägen 14, 702 27 Örebro","Box 9060, 700 09 Örebro",Örebro,50,['85599 Diverse övrig utbildning'],Bolaget skall bedriva föreläsningar och konsultinsatser i sociala frågor samt idka annan därmed förenlig verksamhet.,019-140 19 87,
GL:s Maskinmontage AB,https://www.allabolag.se/foretag/gl%3As-maskinmontage-ab/karlskoga/-/5563583722,[],556358-3722,10795,GL:s Maskinmontage AB,1989-04-20,Aktiebolag,0,Hans Göran Oskar Lindh,"Nedre Trädgårdsgatan 1, 691 41 Karlskoga","Nedre Trädgårdsgatan 1, 691 41 Karlskoga",Karlskoga,100,['64993 Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare'],"Bolaget skall förvalta fast egendom,utföra svetsnings-,montage- och reparationsarbeten, handel med värdepapper och därmed förenlig verksamhet",0586-569 40,
Spjuth's Entreprenad AB,https://www.allabolag.se/foretag/spjuths-entreprenad-ab/nora/-/5563937688,[],556393-7688,10792,Spjuth's Entreprenad AB,1990-04-10,Aktiebolag,4,,"Åshyttan 207, 713 93 Nora","Åshyttan 207, 713 93 Nora",Nora,100,"['02409 Övrig service till skogsbruk', '81290 Annan rengöring', '02200 Drivning']","Aktiebolaget ska bedriva skogsentreprenadrörelse, handel med skogsprodukter, maskinentreprenad och friskvårdsverksamhet samt därmed förenlig verksamhet.",070-683 80 58,
Örebro Plåtservice AB,https://www.allabolag.se/foretag/%C3%B6rebro-pl%C3%A5tservice-ab/%C3%B6rebro/-/5591832778,[],559183-2778,10774,Örebro Plåtservice AB,2018-12-04,Aktiebolag,6,,"Olofsgatan 21 a, 702 86 Örebro","Hans-Erik Åhman Idrottsvägen 33, 702 32 Örebro",Örebro,50,['43911 Takarbeten av plåt'],Bolaget ska bedriva plåtslageriverksamhet samt därmed förenlig verksamhet.,,
Hyttåsen Fastighets AB,https://www.allabolag.se/foretag/hytt%C3%A5sen-fastighets-ab/%C3%B6rebro/-/5566605159,[],556660-5159,10756,Hyttåsen Fastighets AB,2004-04-17,Aktiebolag,0,,"Bodekullsvägen 38, 702 33 Örebro","Bodekullsvägen 38, 702 33 Örebro",Örebro,100,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",Bolaget ska förvalta fastigheter och värdehandlingar samt därmed förenlig verksamhet.,,
Örebro Bygghåltagning AB,https://www.allabolag.se/foretag/%C3%B6rebro-byggh%C3%A5ltagning-ab/kumla/-/5569332371,[],556933-2371,10752,Örebro Bygghåltagning AB,2013-05-30,Aktiebolag,10,Lenny Kjell-Arne Pettersson,"Västra Drottninggatan 46, 692 33 Kumla","ÖREBRO BYGGHÅLTAGNING Västra Drottninggatan 46, 692 33 Kumla",Kumla,50,['43999 Diverse övrig specialiserad bygg- och anläggningsverksamhet'],"Bolaget ska bedriva betonghåltagning, rivning och återvinning, övrig liknande entreprenadverksamhet samt förvaltning av fastigheter och värdepapper samt därmed förenlig verksamhet.",,
Opejra Sverige AB,https://www.allabolag.se/foretag/opejra-sverige-ab/%C3%B6rebro/-/5594248634,[],559424-8634,10739,Opejra Sverige AB,2023-03-06,Aktiebolag,4,,"Skjutbanevägen 12, 703 84 Örebro","Skjutbanevägen 12, 703 84 Örebro",Örebro,100,['69201 Redovisning och bokföring'],Äga och förvalta aktier i rörelsedrivande dotterbolag och utförande av administrativa tjänster åt dessa dotterbolag.,,
KVIAB i Katrineholm AB,https://www.allabolag.se/foretag/kviab-i-katrineholm-ab/%C3%B6rebro/-/5568716723,[],556871-6723,10722,KVIAB i Katrineholm AB,2011-11-10,Aktiebolag,9,Sven Peter Henri Pedersen,"Jeremiasvägen 46, 702 17 Örebro","Anna Hallsbo c/o KVIAB Jeremiasvägen 46, 702 17 Örebro",Örebro,50,"['43290 Andra bygginstallationer', '43222 Ventilationsarbeten', '64993 Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare']","Bolaget ska utföra teknisk isolering, vvs plåtslageri, ventilationsarbeten, tätskikt, brandtätning, industriunderhåll, industrisanering och därmed förenlig verksamhet.",,
Stora Hjortstorps Mat & Turism AB,https://www.allabolag.se/foretag/stora-hjortstorps-mat-turism-ab/%C3%B6rebro/-/5593471377,[],559347-1377,10695,Stora Hjortstorps Mat & Turism AB,2021-11-18,Aktiebolag,7,,"Venan 413, 703 81 Örebro","Venan 413, 703 81 Örebro",Örebro,50,"['56100 Restaurangverksamhet', '47792 Specialiserad butikshandel med övriga begagnade varor']","Restaurang, café, butiksförsäljning av vintagevaror, uthyrning av fastighet, äga och förvalta fast och lös egendom såsom fastigheter, andelar och övriga värdepapper",,
B Gold AB,https://www.allabolag.se/foretag/b-gold-ab/karlskoga/-/5593667594,[],559366-7594,10674,B Gold AB,2022-02-21,Aktiebolag,2,,"Labinhöjdsvägen 5, 691 47 Karlskoga","Labinhöjdsvägen 5, 691 47 Karlskoga",Karlskoga,50,"['45320 Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar', '45201 Allmän service och reparation av motorfordon utom motorcyklar']",Handel med bildelar.,,
Mitson Bär & Svamp AB,https://www.allabolag.se/foretag/mitson-b%C3%A4r-svamp-ab/karlskoga/-/5590574926,[],559057-4926,10667,Mitson Bär & Svamp AB,2016-04-04,Aktiebolag,1-4,,"Stinavägen 3, 691 54 Karlskoga","Stinavägen 3, 691 54 Karlskoga",Karlskoga,50,"['46310 Partihandel med frukt och grönsaker', '47810 Torg- och marknadshandel med livsmedel, drycker och tobak']",Aktiebolaget ska ägna sig åt försäljning såsom bär och svamp samt därmed förenlig verksamhet.,,
Fisk i Hallen i Örebro AB,https://www.allabolag.se/foretag/fisk-i-hallen-i-%C3%B6rebro-ab/%C3%B6rebro/-/5569180465,[],556918-0465,10656,Fisk i Hallen i Örebro AB,2013-01-03,Aktiebolag,10,,"Kungsgatan, 702 11 Örebro","Torsvägen 7 a, 703 65 Örebro",Örebro,50,"['47230 Specialiserad butikshandel med fisk, skal- och blötdjur', '56100 Restaurangverksamhet']",Bolaget ska bedriva restaurang och försäljning av livsmedel samt catering och därmed förenlig verksamhet.,070-604 32 62,
Adwyse AB,https://www.allabolag.se/foretag/adwyse-ab/%C3%B6rebro/-/5568258056,[],556825-8056,10655,Adwyse AB,2010-11-16,Aktiebolag,12,,"Kungsgatan 48 b 0 Tr, 702 24 Örebro","Kungsgatan 48 b 0 Tr, 702 24 Örebro",Örebro,50,"['73111 Reklambyråverksamhet', '71129 Övrig teknisk konsultverksamhet']",Bolaget skall arbeta som konsulter inom evenemang och marknadsföring. Bolaget kommer både driva arrangemang på egen hand men kommer även driva arrangemang sida vid sida med andra arrangörer. Bolaget kommer även arbeta med marknadsföring av olika slag och därmed förenlig verksamhet.,073-633 11 02,
Materialportalen i Sverige AB,https://www.allabolag.se/foretag/materialportalen-i-sverige-ab/%C3%B6rebro/-/5591053672,[],559105-3672,10641,Materialportalen i Sverige AB,2017-03-20,Aktiebolag,1,,"Adolfsbergsvägen 4, 702 27 Örebro","Adolfsbergsvägen 4 Adolfsbergsvägen 4, 702 27 Örebro",Örebro,50,"['46731 Partihandel med virke och andra byggmaterial', '64202 Holdingverksamhet i icke-finansiella koncerner']","Föremålet för bolagets verksamhet är import och export samt försäljning av byggvaror, handel med värdepapper och därmed förenlig verksamhet.",,
Contorum Inredning AB,https://www.allabolag.se/foretag/contorum-inredning-ab/%C3%B6rebro/-/5564210671,[],556421-0671,10640,Contorum Inredning AB,1991-04-02,Aktiebolag,4,,"Bolagsvägen 2, 702 36 Örebro","Bolagsvägen 2, 702 36 Örebro",Örebro,100,['46650 Partihandel med kontorsmöbler'],Bolaget skall bedriva handel med möbler och textilier samt därmed förenlig verksamhet.,0586-400 07,
Näsby Markanläggning Aktiebolag,https://www.allabolag.se/foretag/n%C3%A4sby-markanl%C3%A4ggning-aktiebolag/kumla/-/5563617256,[],556361-7256,10632,Näsby Markanläggning Aktiebolag,1989-05-29,Aktiebolag,0,,"Norra Mosvägen 2, 692 71 Kumla","Box 68, 692 22 Kumla",Kumla,100,"['77110 Uthyrning och leasing av personbilar och lätta motorfordon', '68201 Uthyrning och förvaltning av egna eller arrenderade bostäder']","Bolaget skall bedriva handel med och förvaltning av fastigheter och värdepapper, uthyrning av person- och transportbilar, motorcyklar och båtar, utföra anläggningsarbeten i och på mark, samt däremd förenlig verksamhet.",,
Mark & Miljö i Kumla AB,https://www.allabolag.se/foretag/mark-milj%C3%B6-i-kumla-ab/kumla/-/5566562194,[],556656-2194,10625,Mark & Miljö i Kumla AB,2004-02-18,Aktiebolag,2,Mats Håkan Fägersten,"Kumla Ekeby 113, 692 93 Kumla","Mats Fägersten Kumla Ekeby 113, 692 93 Kumla",Kumla,100,['46742 Partihandel med VVS-varor'],"Bolaget skall bedriva markentreprenad, VVS-installationer ävensom idka därmed förenlig verksamhet.",019-57 34 64,
Zigrid AB,https://www.allabolag.se/foretag/zigrid-ab/nora/-/5568799091,[],556879-9091,10596,Zigrid AB,2012-01-04,Aktiebolag,8,Lars Magnus Birging,"Skördevägen 18, 713 30 Nora","Skördevägen 18, 713 30 Nora",Nora,199,"['71124 Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik']",Aktiebolagets verksamhet ska vara att utveckla och tillhandahålla produkter och tjänster för förnyelsebar energiproduktion samt idka därmed förenlig verksamhet.,070-362 06 21,
Radiator Fastighetsaktiebolag,https://www.allabolag.se/foretag/radiator-fastighetsaktiebolag/%C3%B6rebro/-/5560629692,[],556062-9692,10594,Radiator Fastighetsaktiebolag,1956-04-25,Aktiebolag,0,,"Nastagatan 22, 702 27 Örebro","c/o Radiator VVS Box 1805, 701 18 Örebro",Örebro,100,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],"Bolaget skall äga och förvalta fast och lös egendom, inklusive värdehandlingar, ävensom att driva därmed förenlig verksamhet.",019-27 30 60,
Pålsboda Åkeri AB,https://www.allabolag.se/foretag/p%C3%A5lsboda-%C3%A5keri-ab/p%C3%A5lsboda/-/5567171946,[],556717-1946,10591,Pålsboda Åkeri AB,2006-12-08,Aktiebolag,5,,"Furuvägen 13, 697 30 Pålsboda","Furuvägen 13, 697 30 Pålsboda",Pålsboda,100,"['49410 Vägtransport, godstrafik']",Föremålet för bolagets verksamhet är godstransporter samt handel med värdepapper och därmed förenlig verksamhet.,070-373 20 24,
Hemfjärden Mark AB,https://www.allabolag.se/foretag/hemfj%C3%A4rden-mark-ab/%C3%B6rebro/-/5590174891,[],559017-4891,10590,Hemfjärden Mark AB,2015-06-16,Aktiebolag,3,,"Rävgräva 403, 705 94 Örebro","Rävgräva 403, 705 94 Örebro",Örebro,50,['43320 Byggnadssnickeriarbeten'],"Bolaget ska bedriva byggnation, skogsbruk, transporter, bärgning, förvaltning av fast och lös egendom jämte därmed förenlig verksamhet.",,
Berggrens Maskinservice i Fjugesta AB,https://www.allabolag.se/foretag/berggrens-maskinservice-i-fjugesta-ab/%C3%B6rebro/-/5566216718,[],556621-6718,10588,Berggrens Maskinservice i Fjugesta AB,2002-01-14,Aktiebolag,0,,"Berglundavägen 1 a, 702 36 Örebro","Berglundavägen 1 a, 702 36 Örebro",Örebro,100,"['45310 Parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar', '43320 Byggnadssnickeriarbeten']","Bolaget skall bedriva ombyggnad, reparation och underhåll samt försäljning av reservdelar till entreprenadmaskiner och därmed förenlig verksamhet.",,
L SVEDBERGS BYGG AB,https://www.allabolag.se/foretag/l-svedbergs-bygg-ab/%C3%B6rebro/-/5590594668,[],559059-4668,10569,L SVEDBERGS BYGG AB,2016-04-19,Aktiebolag,4,,"Adolfsbergsvägen 4, 702 27 Örebro","Adolfsbergsvägen 4, 702 27 Örebro",Örebro,50,['43320 Byggnadssnickeriarbeten'],Bolaget utför tjänster inom byggverksamheten.,,
DL Bygg & Montage i Lindesberg AB,https://www.allabolag.se/foretag/dl-bygg-montage-i-lindesberg-ab/lindesberg/-/5592521255,[],559252-1255,10549,DL Bygg & Montage i Lindesberg AB,2020-04-15,Aktiebolag,5,,"Bandygatan 4, 711 34 Lindesberg","Daniel Larsson Bandygatan 4, 711 34 Lindesberg",Lindesberg,25,['43320 Byggnadssnickeriarbeten'],"Byggnationsarbeten Montagetjänster ex. inredning butik, fönster och dörrmontage.",,
Törnbloms Vulkverkstads Aktiebolag,https://www.allabolag.se/foretag/t%C3%B6rnbloms-vulkverkstads-aktiebolag/h%C3%A4llefors/-/5561103689,[],556110-3689,10534,Törnbloms Vulkverkstads Aktiebolag,1967-06-07,Aktiebolag,4,,"Köpmannavägen 12, 712 34 Hällefors","Köpmannavägen 12, 712 34 Hällefors",Hällefors,100,['45204 Däckservice'],Bolaget skall bedriva försäljning och reparation av däck och därmed förenlig verksamhet.,,
DSS International AB,https://www.allabolag.se/foretag/dss-international-ab/degerfors/-/5590242342,[],559024-2342,10533,DSS International AB,2015-08-26,Aktiebolag,4,,"Medborgargatan 27, 693 30 Degerfors","Medborgargatan 27, 693 30 Degerfors",Degerfors,50,"['47260 Specialiserad butikshandel med tobaksvaror', '47242 Specialiserad butikshandel med konfektyrer', '56100 Restaurangverksamhet', '47621 Specialiserad butikshandel med tidningar', '77390 Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar']","Snabbmatsförsäljning, hamburgerrestauranger, caféer. Bensinstations verksamhet med kiosk och tvätt.",,
