name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
Rosensjö Industrilackering AB,https://www.allabolag.se/foretag/rosensj%C3%B6-industrilackering-ab/karlskoga/-/5590957378,[],559095-7378,19194,Rosensjö Industrilackering AB,2017-01-02,Aktiebolag,14,,"Hangarvägen 34, 691 35 Karlskoga","Rosensjö 909, 691 91 Karlskoga",Karlskoga,50,['25610 Beläggning och överdragning av metall'],"Bolaget skall bedriva industrilackering, blästring och därmed förenlig verksamhet.",,
Team Ewertsson Entreprenad AB,https://www.allabolag.se/foretag/team-ewertsson-entreprenad-ab/ervalla/-/5591512271,[],559151-2271,19178,Team Ewertsson Entreprenad AB,2018-03-05,Aktiebolag,5,,"Avdala 918, 718 94 Ervalla","Avdala 918, 718 94 Ervalla",Ervalla,50,['43120 Mark- och grundarbeten'],"Bolaget skall bedriva maskinentreprenad, markanläggningar och transport samt annan därmed förenlig verksamhet.",,
Bergslagens Industri & Betonggolv AB,https://www.allabolag.se/foretag/bergslagens-industri-betonggolv-ab/%C3%B6rebro/-/5590617410,[],559061-7410,19163,Bergslagens Industri & Betonggolv AB,2016-05-05,Aktiebolag,3,,"Landins Väg 7, 702 33 Örebro","Landins Väg 7, 702 33 Örebro",Örebro,50,['42990 Övriga anläggningsarbeten'],"Bolagets verksamhet skall vara,bygg och anläggning främst inom betongindustri och därmed förenlig verksamhet.",,
Tjällmo Flis Aktiebolag,https://www.allabolag.se/foretag/tj%C3%A4llmo-flis-aktiebolag/p%C3%A5lsboda/-/5563141596,[],556314-1596,19098,Tjällmo Flis Aktiebolag,1987-12-16,Aktiebolag,4,Kenneth Andreas Andersson,"Kuggängsvägen 1, 697 31 Pålsboda","Kuggängsvägen 1, 697 31 Pålsboda",Pålsboda,100,['16101 Sågning av trä'],Bolaget skall bedriva flistillverkning ävensom idka därmed förenlig verksamhet.,0141-604 44,
Loxia Rail AB,https://www.allabolag.se/foretag/loxia-rail-ab/%C3%B6rebro/-/5592090137,[],559209-0137,19092,Loxia Rail AB,2019-06-12,Aktiebolag,9,Gert Joakim Holtbäck,"Fabriksgatan 8, 702 10 Örebro","Loxia Investment AB Fabriksgatan 8, 702 10 Örebro",Örebro,50,"['42220 Anläggningsarbeten för el och telekommunikation', '42120 Anläggning av järnvägar och tunnelbanor']","Bolaget ska bedriva entreprenadverksamhet, service och reparationer samt uthyrning av personal och maskiner inom järnvägs-,mark- och anläggningsentreprenader samt idka därmed förenlig verksamhet.",,
PAAM Systems AB,https://www.allabolag.se/foretag/paam-systems-ab/%C3%B6rebro/-/5567865877,[],556786-5877,19052,PAAM Systems AB,2009-08-04,Aktiebolag,12,Alf Magnus Lantz,"Skomaskinsgatan 6, 702 27 Örebro","Skomaskinsgatan 6, 702 27 Örebro",Örebro,118,['46699 Partihandel med diverse övriga maskiner och utrustning'],"Bolaget ska bedriva försäljning och utveckling av system för nyckelhantering, handel med värdepapper samt därmed förenlig verksamhet.",,
Bo Lindgren i Dyltabruk Aktiebolag,https://www.allabolag.se/foretag/bo-lindgren-i-dyltabruk-aktiebolag/dyltabruk/-/5564171113,[],556417-1113,19007,Bo Lindgren i Dyltabruk Aktiebolag,1991-02-11,Aktiebolag,7,,"Brunnsjötorp 310, 718 96 Dyltabruk","Brunnsjötorp 310, 718 96 Dyltabruk",Dyltabruk,100,"['43120 Mark- och grundarbeten', '35110 Generering av elektricitet']","Bolaget skall bedriva entreprenader inom byggnadsanläggningsbranschen, skogsbruk, fastighetsskötsel och fastighetsförvaltning och elproduktion genom vindkraft samt därmed förenlig verksamhet.",019-22 27 89,
Projektstrateg Sverige AB,https://www.allabolag.se/foretag/projektstrateg-sverige-ab/%C3%B6rebro/-/5591688550,[],559168-8550,18975,Projektstrateg Sverige AB,2018-08-23,Aktiebolag,11,Alex Marcel Durand,"Verkstadsgatan 2 1tr, 702 27 Örebro","Verkstadsgatan 2 1tr, 702 27 Örebro",Örebro,51,"['71121 Teknisk konsultverksamhet inom bygg- och anläggningsteknik', '71129 Övrig teknisk konsultverksamhet']","Bolaget skall bedriva konsultverksamhet inom bygg och anläggning, utföra mark- och anläggningsarbeten samt bedriva byggverksamhet och därmed förenlig verksamhet.",,
Ceiling Distribution Center Group Scandinavia AB,https://www.allabolag.se/foretag/ceiling-distribution-center-group-scandinavia-ab/%C3%B6rebro/-/5566447537,[],556644-7537,18963,Ceiling Distribution Center Group Scandinavia AB,2003-05-20,Aktiebolag,3,,,"Östra Vagngatan 5 b, 702 27 Örebro",Örebro,400,['46731 Partihandel med virke och andra byggmaterial'],Bolaget skall sälja byggmaterial samt bedriva konsultverksamhet i anslutning härtill ävensom idka därmed förenlig verksamhet.,,
Proventum AB,https://www.allabolag.se/foretag/proventum-ab/%C3%B6rebro/-/5565918660,[],556591-8660,18938,Proventum AB,2000-06-29,Aktiebolag,4,Björn Carl Jacob Ericsson,"Slussgatan 31, 702 80 Örebro","Slussgatan 31, 702 80 Örebro",Örebro,5 000,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolagets verksamhet är uppförande och förvaltning av fastigheter och därmed förenlig verksamhet.,019-32 34 30,
