org_number,legal_name,sni_code,sni_description
559151-9904,Kulturaktiebolaget Det Blir Kul,90020,Stödtjänster till artistisk verksamhet
559151-9904,Kulturaktiebolaget Det Blir Kul,74900,"Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik"
559151-9904,Kulturaktiebolaget Det Blir Kul,78100,Arbetsförmedling och rekrytering
556239-5383,Nemax Miljöhantering Aktiebolag,38120,Insamling av farligt avfall
556239-5383,Nemax Miljöhantering Aktiebolag,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
556846-7145,Navimo AB,52219,Övriga stödtjänster till landtransport
556846-7145,Navimo AB,78200,Personaluthyrning
556281-8467,Cabinova Electronics AB,26400,Tillverkning av hemelektronik
556281-8467,Cabinova Electronics AB,26110,Tillverkning av elektroniska komponenter
556828-0381,Karlskoga Vattenkraft AB,35110,Generering av elektricitet
559211-9878,Pagelle AB,47713,Specialiserad butikshandel med damkläder
556240-2809,Trivselköp i Guldsmedshyttan Aktiebolag,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556070-1129,LK Maxitherm AB,46742,Partihandel med VVS-varor
559039-8771,Brasta Nordic AB,46769,Partihandel med övriga insatsvaror
559164-0098,SL Byggproduktion AB,43320,Byggnadssnickeriarbeten
556334-9660,Örebro Express Aktiebolag,49410,"Vägtransport, godstrafik"
556678-0879,Santana i Stockholm AB,66190,Andra stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet
556678-0879,Santana i Stockholm AB,41200,Byggande av bostadshus och andra byggnader
556678-0879,Santana i Stockholm AB,68320,Fastighetsförvaltning på uppdrag
559105-8556,VVS Profilen i Örebro AB,43221,Värme- och sanitetsarbeten
559310-7765,Maxitech AB,62020,Datakonsultverksamhet
556371-6140,GOODSTEP AB,46420,Partihandel med kläder och skodon
556681-8661,Cureum AB,86222,"Specialistläkarverksamhet inom öppenvård, ej på sjukhus"
556559-2887,Lasertech LSH AB,25620,Metallegoarbeten
556559-2887,Lasertech LSH AB,46699,Partihandel med diverse övriga maskiner och utrustning
556625-6946,Aberia Personlig Assistans AB,88102,Öppna sociala insatser för personer med funktionshinder
559032-4207,Örebro Byggnadsplåtslageri AB,43911,Takarbeten av plåt
559322-2077,Tribus Projekt AB,41200,Byggande av bostadshus och andra byggnader
559322-2077,Tribus Projekt AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
559322-2077,Tribus Projekt AB,81100,Fastighetsrelaterade stödtjänster
559322-2077,Tribus Projekt AB,77110,Uthyrning och leasing av personbilar och lätta motorfordon
559127-4146,Byggpart Sverige AB,41200,Byggande av bostadshus och andra byggnader
556832-4833,SPD örebro transport AB,52290,Övriga stödtjänster till transport
556420-4054,Svensk Golventreprenad AB,43330,Golv- och väggbeläggningsarbeten
556421-7221,Vilos Group AB,45192,"Handel med husvagnar, husbilar, släpfordon och påhängsvagnar"
556421-7221,Vilos Group AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556969-8391,Stuckatur i Sverige AB,46731,Partihandel med virke och andra byggmaterial
556556-8895,Lyckes Produktionsverktyg AB,25620,Metallegoarbeten
556328-8520,MH Engineering Aktiebolag,46141,"Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer"
556328-8520,MH Engineering Aktiebolag,33200,Installation av industrimaskiner och -utrustning
556367-5973,Hans Eriksson i Frövi Aktiebolag,45110,Handel med personbilar och lätta motorfordon
556367-5973,Hans Eriksson i Frövi Aktiebolag,45310,Parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar
556367-5973,Hans Eriksson i Frövi Aktiebolag,47522,Specialiserad butikshandel med järn- och VVS-varor
556367-5973,Hans Eriksson i Frövi Aktiebolag,45400,Handel med och service av motorcyklar inklusive reservdelar och tillbehör
556367-5973,Hans Eriksson i Frövi Aktiebolag,47642,Specialiserad butikshandel med cyklar
559252-7534,The Aviation Factory Nordic AB,52290,Övriga stödtjänster till transport
556840-1029,VVSochBAD Sverige AB,46742,Partihandel med VVS-varor
556336-0584,Telos Telemontage AB,43210,Elinstallationer
556448-7055,DelMat Aktiebolag,10850,Tillverkning av lagad mat och färdigrätter
556438-6901,Hällefors Bostads Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556438-6901,Hällefors Bostads Aktiebolag,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556438-6901,Hällefors Bostads Aktiebolag,68320,Fastighetsförvaltning på uppdrag
559072-4380,Klimatpartner i Sverige AB,43221,Värme- och sanitetsarbeten
559160-2130,Vrecon AB,23610,Tillverkning av betongvaror  för byggändamål
556883-7941,Fokus Assistans i Närke AB,88102,Öppna sociala insatser för personer med funktionshinder
556552-8154,Kvadrat Örebro AB,62020,Datakonsultverksamhet
556294-7233,Deform AB,25999,Diverse övrig metallvarutillverkning
556908-8692,CleanTeam i Örebro AB,81210,Lokalvård
556908-8692,CleanTeam i Örebro AB,81100,Fastighetsrelaterade stödtjänster
556625-7175,Peter Töndel Markbyggarna AB,43120,Mark- och grundarbeten
556625-7175,Peter Töndel Markbyggarna AB,43221,Värme- och sanitetsarbeten
556625-7175,Peter Töndel Markbyggarna AB,43290,Andra bygginstallationer
556115-7586,Marposs Aktiebolag,46699,Partihandel med diverse övriga maskiner och utrustning
556115-7586,Marposs Aktiebolag,46691,Partihandel med mät- och precisionsinstrument
556459-3837,Karaffen Förvaltnings Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556459-3837,Karaffen Förvaltnings Aktiebolag,41200,Byggande av bostadshus och andra byggnader
556459-3837,Karaffen Förvaltnings Aktiebolag,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556768-4575,FRESCO AB,46650,Partihandel med kontorsmöbler
556768-4575,FRESCO AB,43320,Byggnadssnickeriarbeten
556615-9207,Garantitak i Kumla AB,43912,Takarbeten av andra material än plåt
556849-7985,Runnkvist Livs AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556563-8631,Marieberg Bil AB,45110,Handel med personbilar och lätta motorfordon
556422-7428,L.O.A.B. Aktiebolag,46699,Partihandel med diverse övriga maskiner och utrustning
556189-8387,Arbesko Skofabrik Aktiebolag,15200,Tillverkning av skodon
556163-3271,Glassbolaget D&S NSV AB,46360,"Partihandel med socker, choklad och sockerkonfektyrer"
556163-3271,Glassbolaget D&S NSV AB,46330,"Partihandel med mejeriprodukter, ägg, matolja och matfett"
556991-1356,Renhållningsbolaget i Mellansverige AB,38110,Insamling av icke-farligt avfall
556286-1491,FabriQen Group AB,46420,Partihandel med kläder och skodon
556286-1491,FabriQen Group AB,74102,Grafisk designverksamhet
556286-1491,FabriQen Group AB,47711,"Specialiserad butikshandel med herr-, dam- och barnkläder, blandat"
556286-1491,FabriQen Group AB,18122,Tryckning av böcker och övriga trycksaker
556286-1491,FabriQen Group AB,46499,Partihandel med övriga hushållsvaror
556213-5714,Budpartner Örebro AB,49410,"Vägtransport, godstrafik"
556361-3586,El-Profilen i Örebro Aktiebolag,43210,Elinstallationer
556355-7569,Färg & Form Sweden AB,46410,Partihandel med textilier
556355-7569,Färg & Form Sweden AB,74103,Inredningsarkitektverksamhet
556438-2561,AB Husherren Fastigheter,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556210-3571,Degerfors Energi AB,35130,Distribution av elektricitet
556210-3571,Degerfors Energi AB,35300,Försörjning av värme och kyla
556210-3571,Degerfors Energi AB,61100,Trådbunden telekommunikation
559047-6668,AM Construction AB,43221,Värme- och sanitetsarbeten
556738-6049,Nynäs Säteri AB,01410,Mjölkproduktion och uppfödning av nötkreatur av mjölkras
556738-6049,Nynäs Säteri AB,01610,Service till växtodling
556113-0443,Aktiebolaget Grythyttans Stålmöbler,31090,Tillverkning av andra möbler
556884-1083,Bygg & Projektpartner i Örebro AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556014-2126,Wikers Aktiebolag,02102,Skogsskötsel
556647-0307,Ullmax AB,46420,Partihandel med kläder och skodon
556053-3258,Skyllbergs Bruks Aktiebolag,35110,Generering av elektricitet
556053-3258,Skyllbergs Bruks Aktiebolag,02101,Skogsförvaltning
556053-3258,Skyllbergs Bruks Aktiebolag,43210,Elinstallationer
556053-3258,Skyllbergs Bruks Aktiebolag,70100,Verksamheter som utövas av huvudkontor
556906-4107,TC Connect Sweden AB,46522,Partihandel med teleprodukter
556587-9185,Industriprodukter i Örebro AB,22210,Tillverkning av plasthalvfabrikat
556587-9185,Industriprodukter i Örebro AB,46699,Partihandel med diverse övriga maskiner och utrustning
556595-6942,Lindesbergs VVS AB,43221,Värme- och sanitetsarbeten
556081-0144,Karlskoga Automatsvarvning Aktiebolag,25620,Metallegoarbeten
556920-9819,Ali O Baba Zangna Gross AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556214-3304,Seldén Rigging AB,25999,Diverse övrig metallvarutillverkning
556727-9426,Profilen i Kumla AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556725-5376,Industrihandel i Sverige AB,47711,"Specialiserad butikshandel med herr-, dam- och barnkläder, blandat"
556639-9498,Naverviken Logistic AB,25620,Metallegoarbeten
556639-9498,Naverviken Logistic AB,25610,Beläggning och överdragning av metall
556639-9498,Naverviken Logistic AB,33200,Installation av industrimaskiner och -utrustning
556639-9498,Naverviken Logistic AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556639-9498,Naverviken Logistic AB,78200,Personaluthyrning
559459-8004,Ternstedt Invent Örebro AB,43222,Ventilationsarbeten
556196-1706,Hans Löfqvist Engineering Aktiebolag,28990,Tillverkning av övriga specialmaskiner
556044-1767,Mekana Maskin AB,46620,Partihandel med verktygsmaskiner
556044-1767,Mekana Maskin AB,46761,Partihandel med industriförnödenheter
556696-3707,Jimmie Karlsson Transport AB,49410,"Vägtransport, godstrafik"
556212-1383,VAP VA-Projekt Aktiebolag,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
556481-0314,Holmqvist Optik i Örebro AB,47781,Specialiserad butikshandel med glasögon och andra optiska artiklar utom fotoutrustning
559302-5421,Nerike Återvinning AB,38320,Återvinning av källsorterat material
556779-0752,Let's Go By Bus Örebro Sweden Aktiebolag,49311,Linjebussverksamhet
556031-8791,LekebergsBostäder Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556031-8791,LekebergsBostäder Aktiebolag,68209,Övrig förvaltning av egna eller arrenderade fastigheter
559310-3129,Shine Entreprenad AB,43320,Byggnadssnickeriarbeten
556139-4932,Åkeri Aktiebolaget Tage Palmqvist,49410,"Vägtransport, godstrafik"
556139-4932,Åkeri Aktiebolaget Tage Palmqvist,43120,Mark- och grundarbeten
556403-5557,Örebro Parkett och Golv Aktiebolag,43330,Golv- och väggbeläggningsarbeten
556403-5557,Örebro Parkett och Golv Aktiebolag,47521,Specialiserad butikshandel med virke och byggvaror
556627-6191,Hisscentralen Närke AB,43290,Andra bygginstallationer
556343-0189,Kalle & Sara Sommar AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556159-7963,Arho AB,28990,Tillverkning av övriga specialmaskiner
556120-7407,Weidermans Transport AB,49410,"Vägtransport, godstrafik"
559081-3324,Stjernsunds Gård i Askersund Aktiebolag,01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
559081-3324,Stjernsunds Gård i Askersund Aktiebolag,01471,Äggproduktion (för försäljning)
559081-3324,Stjernsunds Gård i Askersund Aktiebolag,01610,Service till växtodling
559081-3324,Stjernsunds Gård i Askersund Aktiebolag,01420,Uppfödning av andra nötkreatur och bufflar
556856-2663,Calovea AB,45110,Handel med personbilar och lätta motorfordon
556309-1866,Bilforum i Örebro Aktiebolag,45110,Handel med personbilar och lätta motorfordon
556309-1866,Bilforum i Örebro Aktiebolag,45201,Allmän service och reparation av motorfordon utom motorcyklar
559089-0488,Opejra Fasad AB,43911,Takarbeten av plåt
559089-0488,Opejra Fasad AB,25120,Tillverkning av dörrar och fönster av metall
559089-0488,Opejra Fasad AB,43342,Glasmästeriarbeten
559137-1645,Kumla Fjärr AB,49410,"Vägtransport, godstrafik"
556292-6922,Höga-Produkter Aktiebolag,30120,Byggande av fritidsbåtar
556042-7444,Rasmusbyn AB,87201,Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder
556847-9678,Nils Johansson Bilförsäljning AB,45110,Handel med personbilar och lätta motorfordon
556912-3242,Drillcon Drilling Equipment AB,43991,Uthyrning av bygg- och anläggningsmaskiner med förare
556653-8343,Mälarvillan AB,16231,Tillverkning av monteringsfärdiga trähus
559068-9682,Sweden Upfront AB,61900,Annan telekommunikation
559068-9682,Sweden Upfront AB,62030,Datordrifttjänster
559068-9682,Sweden Upfront AB,77390,Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar
556220-3116,BIFAB Begagnade Inredningar Fellingsbro Aktiebolag,46141,"Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer"
556220-3116,BIFAB Begagnade Inredningar Fellingsbro Aktiebolag,25999,Diverse övrig metallvarutillverkning
559311-6147,Protorp Fastighetsutveckling AB,41200,Byggande av bostadshus och andra byggnader
559332-5078,Audiowell AB,70220,Konsultverksamhet avseende företags organisation
556904-7607,Arena Familj Aktiebolag,88993,Övriga öppna sociala insatser för vuxna
556400-4736,Göte Asplunds Schakt & Transport AB,49410,"Vägtransport, godstrafik"
556832-4965,Svensk kommunikationsservice AB,82200,Callcenterverksamhet
556718-7025,Humana KBT Mälardalen AB,87902,Omsorg och sociala insatser i övriga boendeformer för vuxna
556718-7025,Humana KBT Mälardalen AB,88992,Öppna sociala insatser för vuxna med missbruksproblem
556321-1258,Martinex Aktiebolag,46499,Partihandel med övriga hushållsvaror
556715-9362,Laxå Kommunfastigheter Aktiebolag,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556715-9362,Laxå Kommunfastigheter Aktiebolag,81300,Skötsel och underhåll av grönytor
556734-4014,NerikeTolkarna AB,74300,Översättning och tolkning
556817-7447,Macken i Lekeberg AB,47300,Specialiserad detaljhandel med drivmedel
556027-1040,Melins fastighetsförvaltning Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556344-5245,Behrn Fastigheter Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556344-5245,Behrn Fastigheter Aktiebolag,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
559345-8994,Krisskydd Sverige AB,47911,Postorderhandel och detaljhandel på Internet med brett sortiment
556010-8945,Aktiebolaget Carlsson & Åqvist,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556010-8945,Aktiebolaget Carlsson & Åqvist,68209,Övrig förvaltning av egna eller arrenderade fastigheter
556010-8945,Aktiebolaget Carlsson & Åqvist,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556678-1687,Pitcher's i Örebro AB,56100,Restaurangverksamhet
556081-1944,Jardlers Åkeri AB,49410,"Vägtransport, godstrafik"
556081-1944,Jardlers Åkeri AB,43991,Uthyrning av bygg- och anläggningsmaskiner med förare
556595-5449,Robustus Wear Components AB,28990,Tillverkning av övriga specialmaskiner
556595-5449,Robustus Wear Components AB,28950,"Tillverkning av maskiner för produktion av massa, papper och papp"
556595-5449,Robustus Wear Components AB,28920,"Tillverkning av gruv-, bergbrytnings- och byggmaskiner"
559223-3638,A&A VVS-Service i Örebro AB,43221,Värme- och sanitetsarbeten
559223-3638,A&A VVS-Service i Örebro AB,77390,Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar
556408-4704,Abramssons Fastighets Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556408-4704,Abramssons Fastighets Aktiebolag,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556408-4704,Abramssons Fastighets Aktiebolag,68320,Fastighetsförvaltning på uppdrag
556408-4704,Abramssons Fastighets Aktiebolag,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556254-6316,Removex Aktiebolag,28250,Tillverkning av maskiner och apparater för kyla och ventilation utom för hushåll
556571-6601,HKC Hotel Örebro Plaza AB,55101,Hotellverksamhet med restaurangrörelse
556855-4744,Anton Åhs Entreprenad AB,42120,Anläggning av järnvägar och tunnelbanor
556855-4744,Anton Åhs Entreprenad AB,78200,Personaluthyrning
559138-9290,DTT Construction AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556744-4343,Robertsons Charkuteri AB,10130,Charkuteri- och annan köttvarutillverkning
556744-4343,Robertsons Charkuteri AB,10112,Styckning av kött
559110-0317,ViBil AB,45110,Handel med personbilar och lätta motorfordon
556131-1829,WER-agenturer Aktiebolag,46620,Partihandel med verktygsmaskiner
556794-4441,ECAEL AB,43210,Elinstallationer
556428-1318,Örebro Sotar'n Aktiebolag,81222,Skorstensfejarverksamhet
556623-3309,Lufttekniska Installationer i Närke Aktiebolag,43222,Ventilationsarbeten
556623-3309,Lufttekniska Installationer i Närke Aktiebolag,43221,Värme- och sanitetsarbeten
556909-1118,ES Power AB,35110,Generering av elektricitet
556768-9368,EL OCH AUTOMATION I NORA AB,43210,Elinstallationer
559155-3630,EMP Log AB,49410,"Vägtransport, godstrafik"
559155-3630,EMP Log AB,45110,Handel med personbilar och lätta motorfordon
559155-3630,EMP Log AB,52100,Magasinering och varulagring
559033-2721,ViVAB Aktiebolag,78200,Personaluthyrning
556083-5786,Rullprofil i Örebro AB,24330,Tillverkning av andra kallformade produkter av stål
556156-0250,Degerfors Förzinkningsaktiebolag DEFAB,25610,Beläggning och överdragning av metall
556156-0250,Degerfors Förzinkningsaktiebolag DEFAB,38110,Insamling av icke-farligt avfall
556156-0250,Degerfors Förzinkningsaktiebolag DEFAB,78200,Personaluthyrning
556239-4550,Teltek i Örebro Aktiebolag,28290,Övrig tillverkning av maskiner för allmänt ändamål
556630-4480,TBM Entreprenad AB,43320,Byggnadssnickeriarbeten
556630-4480,TBM Entreprenad AB,68320,Fastighetsförvaltning på uppdrag
556681-8653,Zymbios Logistics Contractor AB,70220,Konsultverksamhet avseende företags organisation
556681-8653,Zymbios Logistics Contractor AB,71122,Teknisk konsultverksamhet inom industriteknik
556945-5990,Sverigeråd i Örebro AB,55101,Hotellverksamhet med restaurangrörelse
559268-2867,Axess Bygg & Entreprenad Örebro AB,41200,Byggande av bostadshus och andra byggnader
556507-2765,Hagvidson Bäckby AB,85100,Förskoleutbildning
556507-2765,Hagvidson Bäckby AB,70100,Verksamheter som utövas av huvudkontor
556427-8447,Umicore Autocat Sweden AB,20590,Tillverkning av övriga kemiska produkter
556108-6033,Byggbetjänten AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556108-6033,Byggbetjänten AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556108-6033,Byggbetjänten AB,41200,Byggande av bostadshus och andra byggnader
559018-6069,eSports Pulze AB,62010,Dataprogrammering
556572-7830,ND Norr AB,47521,Specialiserad butikshandel med virke och byggvaror
556298-9755,Varuhuset Rönneshytta Aktiebolag,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556847-3283,B3 Commit AB,62020,Datakonsultverksamhet
556459-8174,Besök Linde AB,93119,"Drift av sporthallar, idrottsplatser och andra sportanläggningar"
556124-4731,Wani El Aktiebolag,43210,Elinstallationer
556625-1228,KTM Sportmotorcycle Scandinavia AB,45400,Handel med och service av motorcyklar inklusive reservdelar och tillbehör
556165-6645,ÖSK Elitfotboll Aktiebolag,93120,Sportklubbars och idrottsföreningars verksamhet
556268-7441,Karlskoga Isolerings Aktiebolag,43290,Andra bygginstallationer
556268-7441,Karlskoga Isolerings Aktiebolag,43222,Ventilationsarbeten
556873-0476,Vivalla Vårdcentral AB,86211,Primärvårdsmottagningar med läkare m.m.
559077-9749,Brightec Production AB,25620,Metallegoarbeten
559223-7977,Liber Assistans AB,88102,Öppna sociala insatser för personer med funktionshinder
559038-1017,Novatic Industrial AB,46761,Partihandel med industriförnödenheter
559022-8911,Novoplast AB,20160,Basplastframställning
559022-8911,Novoplast AB,38320,Återvinning av källsorterat material
559093-8584,Nordic Energy Partner AB,43221,Värme- och sanitetsarbeten
559093-8584,Nordic Energy Partner AB,43210,Elinstallationer
559093-8584,Nordic Energy Partner AB,43223,Kyl- och frysinstallationsarbeten
556898-0949,Lyxbilar i Norra Sverige AB,45110,Handel med personbilar och lätta motorfordon
559221-6906,Karlskoga Verktygsteknik AB,25999,Diverse övrig metallvarutillverkning
559221-6906,Karlskoga Verktygsteknik AB,71122,Teknisk konsultverksamhet inom industriteknik
556446-4666,Örebro Gasteknik Aktiebolag,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
556977-9126,Avancerad Omsorg Vård (AOV) AB,88101,Öppna sociala insatser för äldre personer
556977-9126,Avancerad Omsorg Vård (AOV) AB,81100,Fastighetsrelaterade stödtjänster
556977-9126,Avancerad Omsorg Vård (AOV) AB,88102,Öppna sociala insatser för personer med funktionshinder
556545-5655,Rolf Lindström Undertak AB,43320,Byggnadssnickeriarbeten
556989-5070,Villa Husrenovering i Sverige AB,41200,Byggande av bostadshus och andra byggnader
556870-5742,Stockvikens Gräv & Entreprenad AB,43120,Mark- och grundarbeten
556867-8378,Castellum Citypassagen AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556800-3312,Almi Företagspartner Mälardalen AB,70220,Konsultverksamhet avseende företags organisation
556800-3312,Almi Företagspartner Mälardalen AB,64999,Diverse övrig finansförmedling
556800-3312,Almi Företagspartner Mälardalen AB,64920,Annan kreditgivning
556388-8832,Rörtjänst i Örebro Aktiebolag,43221,Värme- och sanitetsarbeten
556848-8133,SLP Hallsberg Lilla Älberg 1:8 AB,68209,Övrig förvaltning av egna eller arrenderade fastigheter
556766-6077,Lannalodge AB,55101,Hotellverksamhet med restaurangrörelse
556766-6077,Lannalodge AB,93112,Drift av golfbanor
556513-6891,Taxi-Team i Örebro AB,49320,Taxitrafik
556602-6182,Daniel Karlsson Transport AB,49410,"Vägtransport, godstrafik"
559223-3810,Matbutiken på Längbrotorg AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556255-8857,The Jeans Collection Group Scandinavia Aktiebolag,46420,Partihandel med kläder och skodon
556517-9727,Kungsleden Växjö AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556517-9727,Kungsleden Växjö AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556692-9187,Länsteatern i Örebro AB,90020,Stödtjänster till artistisk verksamhet
556914-8249,KumBro Vind AB,35110,Generering av elektricitet
556476-2424,Entreprenadreparationer i Örebro Aktiebolag,41200,Byggande av bostadshus och andra byggnader
556219-2723,Aktiebolaget Svensk Varuförmedling,47111,"Varuhus- och stormarknadshandel, mest livsmedel, drycker och tobak"
556651-6356,ALU Steel i Karlskoga AB,33110,Reparation av metallvaror
559335-9259,Bitumenteknik i Sverige AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556714-0743,Sveas Bageri & Konditori AB,10710,Tillverkning av mjukt matbröd och färska bakverk
556714-0743,Sveas Bageri & Konditori AB,56100,Restaurangverksamhet
556114-1713,Kåbe-Mattan Aktiebolag,22190,Annan gummivarutillverkning
556075-1058,Ahlgrens Åkeri Aktiebolag,49410,"Vägtransport, godstrafik"
556850-2537,Hirsikangas Gräv & Schakt Aktiebolag,43120,Mark- och grundarbeten
556130-6555,Fastighetsaktiebolaget Umato,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556910-0257,Jirvelius World Wide Microtrenching AB,43120,Mark- och grundarbeten
556754-1007,AB Roberts i Örebro,20530,Tillverkning av eteriska oljor
556754-1007,AB Roberts i Örebro,10320,Juice- och safttillverkning
559440-4450,Degerfors Fjärrvärme AB,35300,Försörjning av värme och kyla
556087-0825,Ruddammens Åkeri AB,49410,"Vägtransport, godstrafik"
556521-4490,Lindin Förvaltning AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556521-4490,Lindin Förvaltning AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556521-4490,Lindin Förvaltning AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556384-6251,Sparepartner i Karlskoga Aktiebolag,46141,"Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer"
556529-6430,J Anderbert Bygg AB,41200,Byggande av bostadshus och andra byggnader
556529-6430,J Anderbert Bygg AB,69201,Redovisning och bokföring
556702-5860,MTT Forsberg Måleri i Örebro AB,43341,Måleriarbeten
556702-5860,MTT Forsberg Måleri i Örebro AB,43330,Golv- och väggbeläggningsarbeten
556805-8100,VVS - Bröderna Örebro AB,43221,Värme- och sanitetsarbeten
556812-5388,KAMTechnology AB,71122,Teknisk konsultverksamhet inom industriteknik
556812-5388,KAMTechnology AB,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
556812-5388,KAMTechnology AB,43222,Ventilationsarbeten
556812-5388,KAMTechnology AB,71123,Teknisk konsultverksamhet inom elteknik
556799-0295,Hygienshoppen Svenska AB,47750,Specialiserad butikshandel med kosmetika och hygienartiklar
556188-6218,Älvstorps Vård- och Behandlingshem AB,87201,Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder
556884-1067,Formmax AB,77320,Uthyrning och leasing av bygg- och anläggningsmaskiner
556884-1067,Formmax AB,47521,Specialiserad butikshandel med virke och byggvaror
556504-8526,Mårdträ Aktiebolag,16240,Träförpackningstillverkning
559222-4835,Trestad Mark & Maskinleasing AB,43120,Mark- och grundarbeten
559234-8865,Swestock paper AB,46769,Partihandel med övriga insatsvaror
556808-6499,Granqvist Trailertransport AB,49410,"Vägtransport, godstrafik"
556725-6481,Hammab AB,70220,Konsultverksamhet avseende företags organisation
559123-9461,NBE Gruppen AB,43210,Elinstallationer
559123-9461,NBE Gruppen AB,43320,Byggnadssnickeriarbeten
556569-9336,Hartvig Industriteknik AB,25620,Metallegoarbeten
556982-2736,Andon Robotics AB,28990,Tillverkning av övriga specialmaskiner
556576-4734,Kalle Eriksson Livs Aktiebolag,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
559316-1812,Andy okay AB,47919,Postorderhandel och detaljhandel på Internet med övriga varor
556551-4881,Mellansvenska Fasad i Örebro AB,43310,"Puts-, fasad- och stuckatörsarbeten"
556904-1535,Byggnations Design i Örebro AB,41200,Byggande av bostadshus och andra byggnader
556360-9329,Sällvens Entreprenad Aktiebolag,49410,"Vägtransport, godstrafik"
556360-9329,Sällvens Entreprenad Aktiebolag,01500,Blandat jordbruk
556681-2490,Karlskoga Betongdemolering AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
559015-8936,Asahi Diamond Industrial Scandinavia AB,46699,Partihandel med diverse övriga maskiner och utrustning
556583-9254,Frabe Industri i Nora AB,25110,Tillverkning av metallstommar och delar därav
559225-2398,Vattenbyggnad Entreprenad i Sverige AB,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
556096-7530,Nordic Truck Bodies Service AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
556998-9246,Italsped & Logistik AB,52290,Övriga stödtjänster till transport
559339-1856,Partega Bygg & Anläggning AB,43120,Mark- och grundarbeten
559339-1856,Partega Bygg & Anläggning AB,41200,Byggande av bostadshus och andra byggnader
556800-5465,Victoriahem Björkriset AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556544-5953,Svensk Bilåtervinning AB,46771,Partihandel med uttjänta fordon
