name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,address,postal_address,city,share_capital,sni_codes,business_purpose,ceo,phone,website
Victoriahem Björkriset AB,https://www.allabolag.se/foretag/victoriahem-bj%C3%B6rkriset-ab/%C3%B6rebro/-/5568005465,[],556800-5465,41658,Victoriahem Björkriset AB,2010-02-09,Aktiebolag,6,"Varbergagatan 161, 703 52 Örebro","Box 2, 201 20 Malmö",Malmö,100Tkr,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],"Bolaget har till föremål för sin verksamhet att direkt eller genom dotterbolag förvärva, förvalta, förädla och avyttra fastigheter samt bedriva därmed förenlig verksamhet.",,,
Autocirc Svensk Bilåtervinning AB,https://www.allabolag.se/foretag/autocirc-svensk-bil%C3%A5tervinning-ab/odensbacken/-/5565445953,[],556544-5953,41596,Autocirc Svensk Bilåtervinning AB,1997-08-07,Aktiebolag,15,"Industrivägen 8, 715 31 Odensbacken","Industrivägen 8, 715 31 Odensbacken",Odensbacken,100Tkr,"['46871 Partihandel med uttjänta fordon', '46872 Partihandel med metallavfall och metallskrot', '46873 Partihandel med avfall och skrot av icke-metall', '95311 Allmän service och reparation av motorfordon utom motorcyklar']","Bolaget skall bedriva bilåtervinning, försäljning av nya och begagnade bildelar samt därmed förenlig verksamhet.",Bernt Christian Öhrling,019-45 06 90,
Hagmans Tak Mitt AB,https://www.allabolag.se/foretag/hagmans-tak-mitt-ab/karlskoga/-/5565816096,"[""mitt@hagmanstak.se"", ""mitt@hagmanstak.se""]",556581-6096,41564,Hagmans Tak Mitt AB,1999-12-22,Aktiebolag,15,"Svetsarevägen 15, 691 37 Karlskoga","Svetsarevägen 15, 691 37 Karlskoga",Karlskoga,100Tkr,"['43412 Takarbeten av andra material än plåt', '43411 Takarbeten av plåt', '81100 Fastighetsrelaterad stödverksamhet']",Bolaget ska utföra takarbeten på entreprenad samt idka därmed förenlig verksamhet.,Ulf Patrik Junghagen,0586-395 55,https://www.hagmanstak.se/
ITS i Åsbro AB,https://www.allabolag.se/foretag/its-i-%C3%A5sbro-ab/%C3%A5sbro/-/5567835318,[],556783-5318,41442,ITS i Åsbro AB,2009-06-04,Aktiebolag,0,"Metallvägen 6, 694 60 Åsbro","Metallvägen 6, 694 60 Åsbro",Åsbro,100Tkr,['52100 Magasinering och varulagring'],Bolaget ska ombesörja upprättande av import- och tullhandlingar samt övriga administrativa tjänster samt även distribution och lagerhållning och därtill hörande förädlingsarbete avseende lagervarorna samt förvaltning av värdepapper och fastigheter och där= med förenlig verksamhet.,Johan Mathias Herrgård,,
Görtz Fastigheter AB,https://www.allabolag.se/foretag/g%C3%B6rtz-fastigheter-ab/%C3%B6rebro/-/5565809265,[],556580-9265,41259,Görtz Fastigheter AB,1999-12-16,Aktiebolag,2,"Fredsgatan 1 b, 703 39 Örebro","Fredsgatan 1 b, 703 39 Örebro",Örebro,100Tkr,"['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder', '68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",Bolaget skall driva förvaltning av fastigheter och värdepapper och idka därmed förenliga verksamheter.,Louise Edith Elisabeth O Görtz,019-22 20 01,
BR Group AB,https://www.allabolag.se/foretag/br-group-ab/%C3%B6rebro/-/5568147309,[],556814-7309,41240,BR Group AB,2010-07-13,Aktiebolag,8,"Salamandervägen 19-21, 702 36 Örebro","Salamandervägen 21, 702 36 Örebro",Örebro,50Tkr,['46831 Partihandel med virke och andra byggmaterial'],"Bolaget skall bedriva försäljning av snickeriprodukter, köksinredning, vitvaror, kaffe och vattenautomater även som bedriva därmed förenlig verksamhet.",Bo Peter Röseberg,019-611 02 10,
Fyren EkAlmen AB,https://www.allabolag.se/foretag/fyren-ekalmen-ab/%C3%B6rebro/-/5568568629,[],556856-8629,41147,Fyren EkAlmen AB,2011-06-21,Aktiebolag,45,"Braxenvägen 5, 705 10 Örebro","Braxenvägen 5, 705 10 Örebro",Örebro,100Tkr,['85201 Grundskoleutbildning och förskoleklass'],Bolaget ska bedriva utbildningsverksamhet och därmed förenlig verksamhet.,,019-707 03 30,
BIODAL Kraftvärme AB,https://www.allabolag.se/foretag/biodal-kraftv%C3%A4rme-ab/%C3%B6rebro/-/5567910541,[],556791-0541,41142,BIODAL Kraftvärme AB,2009-10-14,Aktiebolag,0,"Radiatorvägen 17, 702 27 Örebro","c/o Adven Sverige AB, Radiatorvägen 17, 702 27 Örebro",Örebro,100Tkr,['35120 Generering av elektricitet från förnybara energikällor'],Bolaget skall bedriva produktion av värme och elkraft och därmed förenlig verksamhet.,Niklas Gunnar Båtelsson,,
EL OCH AUTOMATION I NORA AB,https://www.allabolag.se/foretag/el-och-automation-i-nora-ab/nora/-/5567689368,[],556768-9368,41079,EL OCH AUTOMATION I NORA AB,2008-11-03,Aktiebolag,23,"Industrivägen 2, 713 30 Nora","Industrivägen 2, 713 30 Nora",Nora,100Tkr,['43210 Elinstallationer'],"Bolaget ska bedriva konsultverksamhet, driftsättning, service och underhåll av el- och automationsinstallationer för fastigheter, industrier och maskiner samt därmed förenlig verksamhet.",Rolf Harald Torstensson,0587-805 10,
Ruddammens Åkeri AB,https://www.allabolag.se/foretag/ruddammens-%C3%A5keri-ab/odensbacken/-/5560870825,[],556087-0825,40991,Ruddammens Åkeri AB,1963-04-02,Aktiebolag,19,"Ruddammen 315, 715 93 Odensbacken","Ruddammen 315, 715 93 Odensbacken",Odensbacken,100Tkr,"['49410 Vägtransport, godstrafik']",Bolaget ska bedriva åkeri och entreprenadverksamhet samt härmed jämförlig verksamhet.,,019-45 30 10,
Jardlers Logistik AB,https://www.allabolag.se/foretag/jardlers-logistik-ab/ervalla/-/5566705058,[],556670-5058,40842,Jardlers Logistik AB,2004-11-11,Aktiebolag,16,"Norsebäck 561, 718 94 Ervalla","Box 13, 713 21 Nora",Nora,100Tkr,"['49410 Vägtransport, godstrafik']","Bolaget ska bedriva åkerirörelse, utföra lagring, bedriva fastighetsförvaltning, äga och förvalta fast egendom samt därmed förenlig verksamhet.",,019-28 14 95,
Spårentreprenör Lars K. Gräv AB,https://www.allabolag.se/foretag/sp%C3%A5rentrepren%C3%B6r-lars-k.-gr%C3%A4v-ab/kumla/-/5566895214,[],556689-5214,40839,Spårentreprenör Lars K. Gräv AB,2005-11-04,Aktiebolag,15,"Sickelsta 116, 692 93 Kumla","Sickelsta 116, 692 93 Kumla",Kumla,100Tkr,['43120 Mark- och grundarbeten'],"Bolaget skall bedriva transporter, anläggningsarbete, entreprenadarbete och reparation av maskiner i anslutning härtill samt därmed förenlig verksamhet.",,,
Transportservice Logistics NF AB,https://www.allabolag.se/foretag/transportservice-logistics-nf-ab/%C3%B6rebro/-/5566415591,"[""info@tslab.se"", ""info@tslab.se""]",556641-5591,40827,Transportservice Logistics NF AB,2003-03-10,Aktiebolag,0,"Pilängsgatan 15, 702 27 Örebro","Box 1142, 701 11 Örebro",Örebro,100Tkr,['52250 Logistikverksamhet'],"Bolaget skall bedriva transportförmedling, spedition och lagerhållning ävensom idka därmed förenlig verksamhet.",Fredrik Christer Öjdemark,019-17 30 80,https://tslab.se/
Gullbergs MMVIII AB,https://www.allabolag.se/foretag/gullbergs-mmviii-ab/kumla/-/5568156789,[],556815-6789,40734,Gullbergs MMVIII AB,2010-08-06,Aktiebolag,14,"Marsvägen 10, 692 21 Kumla","c/o box 49, Marsvägen 10, 692 21 Kumla",Kumla,50Tkr,['43330 Golv- och väggbeläggningsarbeten'],Aktiebolagets verksamhet ska vara att utföra renoveringar och restaureringar av sten samt montering av kakel och sten jämte därmed förenlig verksamhet.,,070-567 12 68,
Svetsprodukter i Örebro AB,https://www.allabolag.se/foretag/svetsprodukter-i-%C3%B6rebro-ab/%C3%B6rebro/-/5591673107,[],559167-3107,40709,Svetsprodukter i Örebro AB,2018-08-06,Aktiebolag,4,"Flugsvampsvägen 5, 705 10 Örebro","Flugsvampsvägen 5, 705 10 Örebro",Örebro,50Tkr,['46831 Partihandel med virke och andra byggmaterial'],Bolaget skall bedriva marknadsföring och försäljning inom byggbranschen och därmed förenlig verksamhet. Bolaget skall även förvalta fast och lös egendom och därmed förenlig verksamhet.,,070-559 04 76,
Kraftlänk AB,https://www.allabolag.se/foretag/kraftl%C3%A4nk-ab/kumla/-/5594452673,[],559445-2673,40624,Kraftlänk AB,2023-08-21,Aktiebolag,22,"Viagatan 23 b, 692 35 Kumla","Viagatan 23 b, 692 35 Kumla",Kumla,25Tkr,"['42221 Anläggningsarbeten för el', '43210 Elinstallationer']",Föremålet för bolagets verksamhet är att bedriva markarbete samt anläggning avhögspännings- och kraftledningar samt därmed förenlig verksamhet.,,,
Bra Assistans i Örebro AB,https://www.allabolag.se/foretag/bra-assistans-i-%C3%B6rebro-ab/%C3%B6rebro/-/5567008171,[],556700-8171,40516,Bra Assistans i Örebro AB,2006-03-29,Aktiebolag,90,"Nygatan 15, 702 11 Örebro","Nygatan 15, 702 11 Örebro",Örebro,100Tkr,['88102 Öppna sociala insatser för personer med funktionsnedsättning'],Bolaget skall erbjuda administrativ hjälp till personer med rätt till ersättning enligt LSS(lag om stöd och service till vissa funktionshindrade) eller LASS(lag om assistentersättning) samt bedriva därmed förenlig verksamhet.,Edin Hocanin,,
M Östermans Entreprenad AB,https://www.allabolag.se/foretag/m-%C3%B6stermans-entreprenad-ab/nora/-/5590581772,[],559058-1772,40200,M Östermans Entreprenad AB,2016-04-07,Aktiebolag,3,"Rörstorp 541 Västantorp, 713 91 Nora","c/o M.ÖSTERMANS ENTREPRENAD AB, Rörstorp 541 Västantorp, 713 91 Nora",Nora,50Tkr,"['02102 Skogsskötsel', '02200 Drivning', '64994 Förvaltning av och handel med värdepapper, för en begränsad och sluten krets av ägare']","Bolaget skall bedriva entreprenadtjänster inom jord- och skogsbruk, försäljning av varor och material i samband med detta, värdepappershandel samt annan därmed förenlig verksamhet.",,,
Sjöhagens Livs Aktiebolag,https://www.allabolag.se/foretag/sj%C3%B6hagens-livs-aktiebolag/nora/-/5564896537,[],556489-6537,39875,Sjöhagens Livs Aktiebolag,1994-06-23,Aktiebolag,12,"Kolmätaregatan 23 Östra Soltunet, 713 32 Nora","Östra Soltunet, 713 32 Nora",Nora,100Tkr,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",Bolaget skall som medlem i ICA-förbundet bedriva detaljhandel med dagligvaror och annan därmed förenlig verksamhet.,,0587-102 54,
Frabe Industri i Nora AB,https://www.allabolag.se/foretag/frabe-industri-i-nora-ab/nora/-/5565839254,[],556583-9254,39824,Frabe Industri i Nora AB,2000-01-14,Aktiebolag,27,"Stensnäsvägen 10, 713 32 Nora","c/o Frabe Industri i Nora AB, Stensnäsvägen 10, 713 32 Nora",Nora,500Tkr,['25110 Tillverkning av metallstommar och delar därav'],"Bolaget ska bedriva tillverkning av plåt- och balkkonstruktioner, mekaniska maskiner, filter, silos, transport-, ventilations- och dammutrustningsanläggningar, licenssvetsning ävensom idka därmed förenlig verksamhet.",Leif Fredric Karlsson,0587-828 80,
Kåbe-Mattan Aktiebolag,https://www.allabolag.se/foretag/k%C3%A5be-mattan-aktiebolag/fjugesta/-/5561141713,[],556114-1713,39730,Kåbe-Mattan Aktiebolag,1967-12-27,Aktiebolag,12,"Gropen, 716 93 Fjugesta","c/o Weland AB, Malmgatan 34, 333 30 Smålandsstenar",Smålandsstenar,900Tkr,['22120 Annan gummivarutillverkning'],Föremålet för bolagets verksamhet är att tillverka och försälja entrémattor och entrégaller samt bedriva annan förenlig verksamhet.,Jonas Patrik Welandson,0585-255 50,
TH:s Måleri AB,https://www.allabolag.se/foretag/th%3As-m%C3%A5leri-ab/%C3%B6rebro/-/5568164650,[],556816-4650,39699,TH:s Måleri AB,2010-08-23,Aktiebolag,34,"Oskarsvägen 40, 702 14 Örebro","Nastagatan 15, 702 27 Örebro",Örebro,50Tkr,"['43341 Måleriarbeten', '43320 Byggnadssnickeriarbeten', '47789 Övrig specialiserad detaljhandel', '81100 Fastighetsrelaterad stödverksamhet']","Måleriarbeten, snickeriarbeten och fastighetsskötsel.",Tomas Hedström,,
KOGI Försäljnings Aktiebolag,https://www.allabolag.se/foretag/kogi-f%C3%B6rs%C3%A4ljnings-aktiebolag/%C3%B6rebro/-/5560509894,[],556050-9894,39699,KOGI Försäljnings Aktiebolag,1947-10-21,Aktiebolag,12,"Nastagatan 17, 702 27 Örebro","Nastagatan 17, 702 27 Örebro",Örebro,600Tkr,"['46649 Partihandel med diverse andra maskiner och diverse annan utrustning', '77390 Uthyrning och leasing av diverse övrig utrustning samt diverse övriga maskiner och materiella tillgångar']","Bolaget skall idka försäljning av maskiner, inventarier och utrustning företrädesvis till restaurangbranschen ävensom idka därmed förenlig versamhet.",,019-27 13 30,
Toroma Automation AB,https://www.allabolag.se/foretag/toroma-automation-ab/degerfors/-/5566356407,"[""info@toroma.se"", ""info@toroma.se""]",556635-6407,39689,Toroma Automation AB,2002-11-19,Aktiebolag,22,"Industrigatan 10, 69335 DEGERFORS","Industrigatan 10, 69335 DEGERFORS",DEGERFORS,120Tkr,['71122 Teknisk konsultverksamhet inom industriteknik'],"Bolaget skall bedriva teknisk konsultverksamhet inom el- och industriautomation, elinstallationer, bedriva mekanisk verksamhet, äga och förvalta aktier i dotterbolag, handel med värdepapper samt därmed förenlig verksamhet.",Göran Thomas Posth,070-654 17 48,https://www.toroma.se
Hagifa Aktiebolag,https://www.allabolag.se/foretag/hagifa-aktiebolag/fjugesta/-/5563948875,[],556394-8875,39677,Hagifa Aktiebolag,1990-05-08,Aktiebolag,4,"Binninge Dansgården, 716 91 Fjugesta","c/o HÅKAN AGARTSSON, Binninge Dansgården, 716 91 Fjugesta",Fjugesta,50Tkr,['01500 Blandat jordbruk'],"Föremålet för bolagets verksamhet är bedriva skogskörslor, jord- och skogsbruk, animalieproduktion, köp och sälj värdepapper samt därmed förenlig verksamhet.",,0585-203 40,
KM Studio AB,https://www.allabolag.se/foretag/km-studio-ab/karlskoga/-/5567596092,[],556759-6092,39526,KM Studio AB,2008-06-11,Aktiebolag,27,"Häsängsvägen 6, 691 42 Karlskoga","Häsängsvägen 6, 691 42 Karlskoga",Karlskoga,135Tkr,"['59120 Efterproduktion av film, video och tv-program']","Bolagets verksamhet ska vara översättningar och bearbetningar av media för bio, TV, video, internet samt därmed förenlig verksamhet.",,,
Kåre Nilzon Skogsentreprenad i Hammarby Aktiebolag,https://www.allabolag.se/foretag/k%C3%A5re-nilzon-skogsentreprenad-i-hammarby-aktiebolag/nora/-/5561127803,[],556112-7803,39497,Kåre Nilzon Skogsentreprenad i Hammarby Aktiebolag,1967-10-31,Aktiebolag,17,"Hammarby 350, 713 91 Nora","Hammarby 350, 713 91 Nora",Nora,100Tkr,['02200 Drivning'],"Bolaget skall bedriva skogsentreprenad, åkerirörelse, fastighetsförvaltning samt därmed förenlig verksamhet.",Kåre Andreas Nilzon,070-597 95 74,
Structor Örebro AB,https://www.allabolag.se/foretag/structor-%C3%B6rebro-ab/%C3%B6rebro/-/5567662993,[],556766-2993,39442,Structor Örebro AB,2008-09-24,Aktiebolag,25,"Gustavsviksvägen 3, 702 44 Örebro","Gustavsviksvägen 3, 702 44 Örebro",Örebro,575Tkr,"['71121 Teknisk konsultverksamhet inom bygg- och anläggningsteknik', '71110 Arkitektverksamhet']",Bolaget skall bedriva teknisk konsultverksamhet inom samhällsbyggnadsområdet samt därmed förenlig verksamhet.,Johanna Maria Tun,,
Ahlgrens Åkeri Aktiebolag,https://www.allabolag.se/foretag/ahlgrens-%C3%A5keri-aktiebolag/fellingsbro/-/5560751058,[],556075-1058,39386,Ahlgrens Åkeri Aktiebolag,1960-11-30,Aktiebolag,20,"Fabriksvägen 7, 732 71 Fellingsbro","c/o Ahlgrens Åkeri AB, Fabriksvägen 7, 732 71 Fellingsbro",Fellingsbro,100Tkr,"['49410 Vägtransport, godstrafik']",Bolaget skall idka åkerirörelse samt äga och förvalta fastigheter och därmed förenlig verksamhet.,Robert Anders Ahlgren,,
Demolering Entreprenad & Transport i Örebro AB,https://www.allabolag.se/foretag/demolering-entreprenad-transport-i-%C3%B6rebro-ab/kumla/-/5568470461,"[""info@detab-orebro.se"", ""info@detab-orebro.se""]",556847-0461,39344,Demolering Entreprenad & Transport i Örebro AB,2011-03-22,Aktiebolag,11,"Hynneberg 411, 692 92 Kumla","Hynneberg 411, 692 92 Kumla",Kumla,50Tkr,['43110 Rivning av hus och byggnader'],"Föremålet för bolagets verksamhet är att bedriva rivning av byggnader, markentreprenader och åkeriverksamhet samt därmed förenlig verksamhet.",Dan Seved Andersson,019-277 98 07,https://www.detab-orebro.se/
Fellingsbro Mekaniska AB,https://www.allabolag.se/foretag/fellingsbro-mekaniska-ab/fellingsbro/-/5566670344,[],556667-0344,39327,Fellingsbro Mekaniska AB,2004-09-27,Aktiebolag,25,"Hemvägen 10, 732 71 Fellingsbro","Hemvägen 10, 732 71 Fellingsbro",Fellingsbro,100Tkr,"['28220 Tillverkning av lyft- och godshanteringsanordningar', '25530 Metallegoarbeten', '33120 Reparation och underhåll av maskiner']",Bolaget skall bedriva mekanisk verkstad samt därmed förenlig verksamhet.,Lars Åke Patrik Ingvarsson,,
Tappex Sweden AB,https://www.allabolag.se/foretag/tappex-sweden-ab/%C3%B6rebro/-/5560941519,[],556094-1519,39191,Tappex Sweden AB,1964-09-17,Aktiebolag,16,"Grusgropsvägen 3, 702 36 Örebro","Grusgropsvägen 3, 702 36 Örebro",Örebro,500Tkr,"['46900 Icke-specialiserad partihandel', '46841 Partihandel med järnhandelsvaror']","Bolaget ska bedriva handel med producentvaror för verkstads- och byggindustrin, samt annan därmed förenlig verksamhet.",Tom Mikael Ranta,019-30 74 50,
Anforina AB,https://www.allabolag.se/foretag/anforina-ab/fellingsbro/-/5566160072,[],556616-0072,39146,Anforina AB,2001-09-24,Aktiebolag,8,"Bergsvägen 37, 732 71 Fellingsbro","Bergsvägen 37, 732 71 Fellingsbro",Fellingsbro,200Tkr,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",Föremålet för bolagets verksamhet skall vara att bedriva handel med dagligvaror jämte därmed förenig verksamhet.,,0581-62 00 53,
Brightec Security AB,https://www.allabolag.se/foretag/brightec-security-ab/mullhyttan/-/5591357081,[],559135-7081,39136,Brightec Security AB,2017-11-28,Aktiebolag,20,"Selhagsvägen 6, 716 94 Mullhyttan","Selhagsvägen 6, 716 94 Mullhyttan",Mullhyttan,100Tkr,['80090 Övrig säkerhetsverksamhet'],Bolaget skall bedriva köp och försäljning av elektronikprodukter inom tids- och informationssystem inom samtliga branscher samt bedriva annan därmed förenlig verksamhet.,Veronika Marija Skof,,
NollNitton Frakt AB,https://www.allabolag.se/foretag/nollnitton-frakt-ab/%C3%B6rebro/-/5568077498,[],556807-7498,39051,NollNitton Frakt AB,2010-05-06,Aktiebolag,32,"Handelsgatan 3 1tr, 702 27 Örebro","Handelsgatan 3 1tr, 702 27 Örebro",Örebro,50Tkr,"['49410 Vägtransport, godstrafik']",Bolaget skall bedriva godstransporter samt annan därmed förenlig verksamhet.,,073-705 21 87,
Advokatfirman Lindahl i Örebro AB,https://www.allabolag.se/foretag/advokatfirman-lindahl-i-%C3%B6rebro-ab/%C3%B6rebro/-/5590267760,[],559026-7760,39048,Advokatfirman Lindahl i Örebro AB,2015-09-17,Aktiebolag,22,"Vasastrand 11, 703 54 Örebro","Box 143, 701 42 Örebro",Örebro,95Tkr,['69101 Advokatbyråverksamhet'],"Föremålet för bolagets verksamhet är uteslutande att direkt eller indirekt genom Advokatfirman Lindahl KB, driva advokatverksamhet.",,019-20 89 00,
Fastighetsaktiebolaget Harven Centrum,https://www.allabolag.se/foretag/fastighetsaktiebolaget-harven-centrum/%C3%B6rebro/-/5593802118,[],559380-2118,39025,Fastighetsaktiebolaget Harven Centrum,2022-05-11,Aktiebolag,0,"Rudbecksgatan 37, 702 11 Örebro","c/o SIBE Förvaltning, Rudbecksgatan 37, 702 11 Örebro",Örebro,25Tkr,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolaget ska äga och förvalta fast egendom och därmed förenlig verksamhet.,,,
Loxia Projektledning AB,https://www.allabolag.se/foretag/loxia-projektledning-ab/%C3%B6rebro/-/5569865214,[],556986-5214,38936,Loxia Projektledning AB,2014-10-15,Aktiebolag,14,"Fabriksgatan 8, 702 10 Örebro","Fabriksgatan 8, 702 10 Örebro",Örebro,50Tkr,['71121 Teknisk konsultverksamhet inom bygg- och anläggningsteknik'],"Konsultverksamhet inom byggnadsbranschen,värdepappershandel, handel med förvaltning av fastigheter samt därmed förenlig verksamhet.",Reine Karl Henrik Frisk,,
Advantek Sweden AB,https://www.allabolag.se/foretag/advantek-sweden-ab/lax%C3%A5/-/5593324386,[],559332-4386,38913,Advantek Sweden AB,2021-08-30,Aktiebolag,24,"Esabvägen 7, 695 30 Laxå","Esabvägen 7, 695 30 Laxå",Laxå,25Tkr,['22220 Plastförpackningstillverkning'],Bolaget ska bedriva produktion och distribution av plastförpackningar och förpackningsmaskiner samt liknande produkter ävensom idka därmed förenlig verksamhet.,Daniel Torsten Walter Mive,,
HPM Distribution AB,https://www.allabolag.se/foretag/hpm-distribution-ab/karlskoga/-/5565604245,[],556560-4245,38852,HPM Distribution AB,1998-09-29,Aktiebolag,10,"Labinhöjdsvägen 2, 691 47 Karlskoga","Labinhöjdsvägen 2, 691 47 Karlskoga",Karlskoga,100Tkr,['46720 Partihandel med reservdelar och tillbehör till motorfordon'],"Bolaget ska bedriva handel med och fabrikation av biltillbehör och reservdelar, handel, reparationer och konsultering av motordrivna fordon samt sälja administrativa tjänster och idka annan därmed förenlig verksamhet. Bolaget skall även ha som verksamhet att äga och förvalta fast och lös egendom.",,,
Reko Rör Närke AB,https://www.allabolag.se/foretag/reko-r%C3%B6r-n%C3%A4rke-ab/%C3%B6rebro/-/5590340682,[],559034-0682,38847,Reko Rör Närke AB,2015-11-08,Aktiebolag,16,"Signalgatan 9, 702 44 Örebro","Signalgatan 9, 702 44 Örebro",Örebro,50Tkr,['43221 Värme- och sanitetsarbeten'],Bolaget arbetar med rörinstallationer inom Service och Entreprenad och därmed förenlig verksamhet.,Karl Oskar Karlsson,,
Häggströms Bygg Entreprenad AB,https://www.allabolag.se/foretag/h%C3%A4ggstr%C3%B6ms-bygg-entreprenad-ab/%C3%B6rebro/-/5592743974,[],559274-3974,38668,Häggströms Bygg Entreprenad AB,2020-10-01,Aktiebolag,30,,"Olofsgatan 21, 702 86 Örebro",Örebro,25Tkr,['41000 Byggande av bostadshus och andra byggnader'],Företaget ska driva mindre byggentreprenader. Företaget ska bistå med montagearbeten till andra företag inom bygg. Företaget ska vara aktivt inom byggsektorn.,,,
Trädgårdstjänst i Örebro AB,https://www.allabolag.se/foretag/tr%C3%A4dg%C3%A5rdstj%C3%A4nst-i-%C3%B6rebro-ab/%C3%B6rebro/-/5562257112,[],556225-7112,38620,Trädgårdstjänst i Örebro AB,1982-12-24,Aktiebolag,33,"Maskingatan 24, 702 86 Örebro","Maskingatan 24 b, 702 86 Örebro",Örebro,500Tkr,"['81300 Skötsel och underhåll av grönytor', '43999 Annan övrig specialiserad bygg- och anläggningsverksamhet', '16250 Tillverkning av dörrar och fönster av trä']",Föremålet för bolagets verksamhet är mark- och skötselentreprenad inom trädgård och parkanläggningar samt snickeri och smide och därmed förenlig verksamhet. Bolaget skall även tillhandahålla visningsträdgård med naturverk samt uthyrning av Botanicumhuset.,Johan Magnus Hellgren,019-32 47 15,
Helins Åkeri Aktiebolaget,https://www.allabolag.se/foretag/helins-%C3%A5keri-aktiebolaget/h%C3%A4llefors/-/5560837618,[],556083-7618,38542,Helins Åkeri Aktiebolaget,1962-08-06,Aktiebolag,14,"Hjulsjö 118, 712 91 Hällefors","Hjulsjö 118, 712 91 Hällefors",Hällefors,100Tkr,"['49410 Vägtransport, godstrafik']",Bolaget skall bedriva lastbilsåkeri ävensom idka därmed förenlig verksamhet.,,0591-109 58,
Disa Assistans AB,https://www.allabolag.se/foretag/disa-assistans-ab/%C3%B6rebro/-/5567625776,[],556762-5776,38407,Disa Assistans AB,2008-07-17,Aktiebolag,82,"Peppargatan 39, 702 52 Örebro","Box 1240, 701 12 Örebro",Örebro,100Tkr,['88102 Öppna sociala insatser för personer med funktionsnedsättning'],"Bolaget ska bedriva personlig assistans för funktionshindrade, hemtjänst, öppenvård, hushållstjänster och därmed förenlig verksamhet.",Dine Diana Jakob,,
KPV Teknik AB,https://www.allabolag.se/foretag/kpv-teknik-ab/karlskoga/-/5561582577,[],556158-2577,38376,KPV Teknik AB,1972-01-01,Aktiebolag,24,"Svetsarevägen 12, 691 37 Karlskoga","Svetsarevägen 12, 691 37 Karlskoga",Karlskoga,100Tkr,['25530 Metallegoarbeten'],"Bolaget skall driva mekanisk verkstad, verktygstillverkning, utföra legoarbeten i anslutning härtill ävensom idka därmed förenlig verksamhet.",,,
Dockab Aktiebolag,https://www.allabolag.se/foretag/dockab-aktiebolag/hallsberg/-/5563355675,[],556335-5675,38358,Dockab Aktiebolag,1988-09-29,Aktiebolag,16,"Bergmansvägen 5, 694 35 Hallsberg","Bergmansvägen 5, 694 35 Hallsberg",Hallsberg,250Tkr,['28220 Tillverkning av lyft- och godshanteringsanordningar'],Bolaget skall driva tillverkning och försäljning av automatiska dockningsanläggningar samt idka därmed förenlig verksamhet.,Mats Gunnar Palmgren,,
GT Bygg i Degerfors Aktiebolag,https://www.allabolag.se/foretag/gt-bygg-i-degerfors-aktiebolag/degerfors/-/5564136611,[],556413-6611,38279,GT Bygg i Degerfors Aktiebolag,1990-12-13,Aktiebolag,20,"Gjuterigatan 1, 693 35 Degerfors","Gjuterigatan 1, 693 35 Degerfors",Degerfors,100Tkr,['41000 Byggande av bostadshus och andra byggnader'],Bolaget skall bedriva byggnadsverksamhet inom byggnadsbranschen samt därmed förenlig verksamhet.,,,
AB Miljö & Energiservice Per Olofsson,https://www.allabolag.se/foretag/ab-milj%C3%B6-energiservice-per-olofsson/%C3%B6rebro/-/5563388601,[],556338-8601,38244,AB Miljö & Energiservice Per Olofsson,1988-11-11,Aktiebolag,14,"Södra Gårdens Väg 2, 702 21 Örebro","Södra Gårdens Väg 2, 702 21 Örebro",Örebro,100Tkr,['43222 Ventilationsarbeten'],Bolaget skall bedriva konsultationer för entreprenadverksamhet inom energi och miljösektorn samt därmed förenlig verksamhet.,,019-36 31 00,
Alltiett i Örebro AB,https://www.allabolag.se/foretag/alltiett-i-%C3%B6rebro-ab/%C3%B6rebro/-/5568864929,[],556886-4929,38141,Alltiett i Örebro AB,2012-03-05,Aktiebolag,10,"Stortorget 10, 702 11 Örebro","Stortorget 10, 702 11 Örebro",Örebro,50Tkr,"['47711 Detaljhandel med kläder, utom via internet eller postorder']","Bolaget skall bedriva försäljning av herr- och damkonfektion samt profilkläder, uthyrning av högtidskläder och försäljning av skrädderi och kemtvättstjänster samt därmed förenlig verksamhet.",Per Fredrik Joakim Wong,,
Hidinge Gård Aktiebolag,https://www.allabolag.se/foretag/hidinge-g%C3%A5rd-aktiebolag/fjugesta/-/5564827821,[],556482-7821,38137,Hidinge Gård Aktiebolag,1994-02-22,Aktiebolag,5,"Hidinge Gård 1 a, 716 92 Fjugesta","Hidinge Gård 1 a, 716 92 Fjugesta",Fjugesta,100Tkr,['01500 Blandat jordbruk'],"Bolaget skall bedriva lantbruksrörelse, konsultverksamhet avseende lantbruk, köp och förvaltning av fast och lös egendom samt därmed förenlig verksamhet.",Carl Håkan Wahlstedt,019-29 10 92,
